"IndivYr","AnimalID","SprAvgNSD","FallAvgNSD","SprTotalNSD","FallTotalNSD"
"140040-14",140040,49.3589567020807,160.238427972063,3060.25531552901,11857.6436699327
"140050-14",140050,11.5321457390937,59.2463508856634,714.99303582381,4384.22996553909
"140060-14",140060,68.7119776721862,30.1915912508592,4260.14261567554,2234.17775256358
"140070-14",140070,7.07308204250368,12.4968647072666,438.531086635228,924.767988337732
"140100-14",140100,20.0662140382843,81.9558794318443,1244.10527037363,6064.73507795647
"140120-14",140120,35.4125310988922,169.214020115175,2195.57692813131,10491.2692471409
"140290-14",140290,42.5668193259683,33.2849222375176,2639.14279821004,2463.0842455763
"140300-14",140300,108.142059153508,74.4411321676824,6704.80766751748,5508.6437804085
"140320-14",140320,51.1195796622122,241.641871269451,3169.41393905715,17881.4984739394
"140340-14",140340,95.0936045929817,91.7421070231111,5895.80348476486,6788.91591971022
"140360-14",140360,32.9410305438882,NA,2042.34389372107,0
"140380-14",140380,6.66814015616513,12.6056362002298,413.424689682238,932.817078817007
"140400-14",140400,78.6405239438359,22.6371955517505,4875.71248451783,1675.15247082954
"140480-14",140480,56.0800353568872,43.3003248125171,3476.962192127,3204.22403612626
"140560-14",140560,140.439687510065,146.215932026625,8707.26062562402,10819.9789699703
"140600-14",140600,109.471196931719,49.6605946043503,6787.21420976661,3674.88400072192
"140630-14",140630,28.8146426395829,43.6228189137803,1786.50784365414,3228.08859961974
"140650-14",140650,5.63201932666804,12.8515054971556,349.185198253418,951.011406789514
"140680-14",140680,76.9778666710753,17.5090427190451,4772.62773360667,1295.66916120933
"140710-14",140710,111.499970353789,68.2382776757653,6912.99816193491,5049.63254800664
"140800-14",140800,178.990527013429,112.189181830938,11097.4126748326,8301.99945548943
"140850-14",140850,111.204704538716,75.2071404242527,6894.69168140036,5565.3283913947
"140890-14",140890,208.495384982202,111.271347352118,12926.7138688965,8234.07970405673
"140900-14",140900,158.007675277263,NA,9796.47586719028,0
"140910-14",140910,56.3204764222913,49.9185169849173,3491.86953818206,3693.97025688388
"140920-14",140920,13.7808112424573,NA,854.41029703235,0
"140930-14",140930,NA,NA,0,0
"140940-14",140940,39.8115016989449,115.345885207827,2468.31310533458,8535.59550537919
"140960-14",140960,79.2245474481283,66.7007139628115,4911.92194178395,4935.85283324805
"140980-14",140980,57.3166713177769,93.2129964930987,3553.63362170217,6897.7617404893
"141000-14",141000,150.815434648797,128.91706994386,9350.55694822542,9539.86317584561
"141010-14",141010,58.4411755753794,190.580954771603,3623.35288567352,14102.9906530986
"141060-14",141060,69.2108830317799,75.2009370472592,4291.07474797035,5564.86934149718
"141070-14",141070,30.1663876465564,35.524506336733,1870.3160340865,2628.81346891824
"141080-14",141080,83.0733069848973,25.4250484656942,5150.54503306363,1881.45358646137
"141090-14",141090,5.59837641197293,NA,347.099337542321,0
"141100-14",141100,58.7395409909539,29.6392011561389,3641.85154143914,2193.30088555428
"141110-14",141110,180.952738308814,NA,11219.0697751465,0
"141120-14",141120,128.648903285226,91.1227568619133,7976.23200368401,6743.08400778158
"141130-14",141130,133.21564952473,122.912391591045,8259.37027053323,9095.51697773732
"141150-14",141150,77.9479265689175,281.076822111585,4832.77144727288,20799.6848362573
"141160-14",141160,87.8464440108805,74.5594864936249,5446.47952867459,5517.40200052825
"141170-14",141170,131.34925941688,NA,8143.65408384653,0
"141180-14",141180,396.209842708088,317.600910432482,24565.0102479015,23502.4673720037
"141200-14",141200,160.824145386623,NA,9971.09701397062,0
"141210-14",141210,11.7767003156174,NA,671.271917990193,0
"141220-14",141220,59.4260197169065,NA,3684.4132224482,0
"141260-14",141260,123.671769108436,82.1127408190605,7667.64968472305,6076.34282061048
